name,url,remote_support,adaptive_support,duration,test_type,description
Enterprise Java Beans (New),https://www.shl.com/solutions/products/product-catalog/view/enterprise-java-beans-new/,Yes,No,4,"K,Remote,Testing","Multi-choice test that measures the knowledge of enterprise Java beans (EJB), types of EJB, transactions and concurrency."
Enterprise Leadership Report 1.0,https://www.shl.com/solutions/products/product-catalog/view/enterprise-leadership-report/,Yes,No,N/A,"P,Remote,Testing","Assess and benchmark your leaders against enterprise leadership - the model for leader impact to drive business results in a complex work environment. For more information, visit: https://www.shl.com/en/solutions/identify-develop-leaders/enterprise-leadership/ ."
Enterprise Leadership Report 2.0,https://www.shl.com/solutions/products/product-catalog/view/enterprise-leadership-report-2-0/,Yes,No,N/A,"P,Remote,Testing","Assess and benchmark your leaders against enterprise leadership - the model for leader impact to drive business results in a complex work environment. For more information, visit: https://www.shl.com/en/solutions/identify-develop-leaders/enterprise-leadership/ ."
Entry Level Cashier Solution,https://www.shl.com/solutions/products/product-catalog/view/entry-level-cashier-solution/,Yes,No,19,"C,P,Remote,Testing","The Precise Fit Entry Level Cashier Solution is for entry-level retail positions in which employees receive payment in the form of cash, check, or credit cards for goods purchased. Sample tasks for these jobs include, but are not limited to: handling payments, offering customer service, and issuing receipts and refunds. Report Language Availability: English (USA)"
Entry Level Customer Serv-Retail & Contact Center,https://www.shl.com/solutions/products/product-catalog/view/entry-level-customer-serv-retail-and-contact-center/,Yes,No,19,"P,C,Remote,Testing","The Precise Fit Entry Level Customer Service Solution (Retail/Contact Center) is for entry-level positions in which employees interact with customers by providing information or carrying out customer requests related to an organizations products or services. Sample tasks for these jobs include, but are not limited to: interacting with customers on the phone or in person; taking orders; solving product or service issues; and responding positively to difficult or irate customers. Report Language Availability: English (USA)"
Entry Level Customer Service (General) Solution,https://www.shl.com/solutions/products/product-catalog/view/entry-level-customer-service-general-solution/,Yes,No,14,"C,P,Remote,Testing","The Precise Fit Entry Level Customer Service Solution (General) is for a wide range of entry-level positions where employees are expected to interact with customers when carrying out critical tasks of the job. This includes positions that require frequent interactions with customers, or positions where customer service is not central to the role, but is still essential for successful performance on the job. Sample tasks for these jobs include, but are not limited to: interacting with customers on the phone to provide information; taking orders; solving product or service issues; and responding positively to difficult or irate customers. Report Language Availability: English (USA)"
Entry Level Hotel Front Desk Solution,https://www.shl.com/solutions/products/product-catalog/view/entry-level-hotel-front-desk-solution/,Yes,No,20,"C,P,Remote,Testing","The Precise Fit Entry Level Hotel Front Desk Solution is for entry-level customer service positions in the hospitality industry. The solution is appropriate for positions in which the majority of the work is done at the front or guest check-in desk. Sample tasks may include: welcoming guests warmly, issuing keys to guests, and accepting payment. Report Language Availability: English (USA)"
Entry Level Sales Solution,https://www.shl.com/solutions/products/product-catalog/view/entry-level-sales-solution/,Yes,No,20,"C,P,Remote,Testing","The Precise Fit Entry Level Sales Roles Solution is for entry-level positions in which employees proactively sell products or services to customers and have their compensation and/or performance based on sales revenue. Sample tasks for these jobs include, but are not limited to: promoting products to customers, persuading customers to buy products, and completing a transaction with a customer. Report Language Availability: English (USA)"
Entry Level Technical Support Solution,https://www.shl.com/solutions/products/product-catalog/view/entry-level-technical-support-solution/,Yes,No,18,"P,C,Remote,Testing","The Precise Fit Entry Level Technical Support Solution is for entry-level positions in which employees provide technical assistance to computer users in a contact center environment. Sample tasks for these jobs include, but are not limited to: answer questions or resolve computer problems for clients in person, via telephone, or electronically, provide assistance concerning the use of computer hardware and software, including printing, installation, word processing, electronic mail, and operating systems. Report Language Availability: English (USA)"
ETL Testing (New),https://www.shl.com/solutions/products/product-catalog/view/etl-testing-new/,Yes,No,9,"K,Remote,Testing","Multi-choice test that measures the knowledge of ETL architecture, data warehousing, dimensions, DBMS concepts like data manipulation, constraints, ETL testing and tools required for testing."
Executive Scenarios,https://www.shl.com/solutions/products/product-catalog/view/executive-scenarios/,Yes,No,N/A,"B,Remote,Testing","Executive Scenarios is a unique test of Managerial Judgement - an individual’s ability to decide on effective ways of handling real life situations. It is specifically designed to assess judgement in Executives; a group who typically has significant work experience to draw on. It consists of hypothetical scenarios, each followed by several possible responses. Candidates rate the effectiveness of each response, using a 6-point scale, from highly undesirable to highly desirable. It can be used for recruitment, selection, training and development, performance management and coaching in a variety of functions and industries. Reports available: Executive Scenarios Narrative Report: A participant focused report that contains; - Executive Scenarios profile - VERY detailed narrative feedback of each of the 4 scales; Managerial Judgement, Managing Objectives, People Management and Reputation Management. - Development tips for each of the 6 style scales; Leading and Managing the work, Using external help, One-to-one, Workforce, Organisational support, Commercial support. Executive Scenarios Profile: Displays all scores on these scales in terms of four types of norm system; T-scores, Percentiles, Stens and Grades."
Executive Scenarios Narrative Report,https://www.shl.com/solutions/products/product-catalog/view/executive-scenarios-narrative-report/,Yes,No,N/A,"B,Remote,Testing","Executive Scenarios is a unique test of Managerial Judgement - an individual’s ability to decide on effective ways of handling real life situations. It is specifically designed to assess judgement in Executives; a group who typically has significant work experience to draw on. It consists of hypothetical scenarios, each followed by several possible responses. Candidates rate the effectiveness of each response, using a 6-point scale, from highly undesirable to highly desirable. It can be used for recruitment, selection, training and development, performance management and coaching in a variety of functions and industries. Reports available: Executive Scenarios Narrative Report: A participant focused report that contains; - Executive Scenarios profile - VERY detailed narrative feedback of each of the 4 scales; Managerial Judgement, Managing Objectives, People Management and Reputation Management. - Development tips for each of the 6 style scales; Leading and Managing the work, Using external help, One-to-one, Workforce, Organisational support, Commercial support. Executive Scenarios Profile: Displays all scores on these scales in terms of four types of norm system; T-scores, Percentiles, Stens and Grades."
